Category,Facility Name,Name (Marathi),Amenity,Operator,Phone,Address,Dist.Dam(km),Pip Flooded?,Pip Depth(m),Pip Arrival(h),Pip Evac,Pip Evac Window,Ovt Flooded?,Ovt Depth(m),Ovt Arrival(h),Ovt Evac,Ovt Evac Window
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Electricity Substation,Toljapur,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
College / University,Tata Institute of Social Sciences - TISS Tuljapur,—,college,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,RHC,—,hospital,—,—,"Latur Road, Parbhani, Tuljapur",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
