osm_id,category,name,name_mr,amenity,office,operator,phone,addr,pip_inund,ovt_inund,dist_dam_km,pip_dep_max,pip_vel_max,pip_arr_min,pip_ev_cod,pip_ev_win,ovt_dep_max,ovt_vel_max,ovt_arr_min,ovt_ev_cod,ovt_ev_win
1365347376,Water Well,Water Well — Ladole — Ladole — Ladole,,,,,,,False,False,14.197,,,,P5,8+ hours,,,,P5,8+ hours
1365347377,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.197,,,,P5,8+ hours,,,,P5,8+ hours
1365347877,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347878,Water Well,Water Well,,,,,,,False,False,16.159,,,,P5,8+ hours,,,,P5,8+ hours
1365347879,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347880,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347881,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347882,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347883,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347884,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365347885,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348423,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348424,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348425,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348426,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348427,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348428,Water Well,Water Well,,,,,,,False,False,16.183,,,,P5,8+ hours,,,,P5,8+ hours
1365348429,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,16.132,,,,P5,8+ hours,,,,P5,8+ hours
1365348430,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,16.132,,,,P5,8+ hours,,,,P5,8+ hours
1365348431,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,16.132,,,,P5,8+ hours,,,,P5,8+ hours
1365348432,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.239,,,,P5,8+ hours,,,,P5,8+ hours
1365348433,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.239,,,,P5,8+ hours,,,,P5,8+ hours
1365348434,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348435,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348436,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348437,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348438,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348439,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348440,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348441,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348442,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348443,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348444,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348445,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348446,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348447,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.197,,,,P5,8+ hours,,,,P5,8+ hours
1365348448,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.197,,,,P5,8+ hours,,,,P5,8+ hours
1365348449,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348450,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348451,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1365348452,Water Well,Water Well — Vairag — Vairag — Vairag,,,,,,,False,False,14.215,,,,P5,8+ hours,,,,P5,8+ hours
1371595287,Water Well,Water Well,,,,,,,False,False,8.686,,,,P5,8+ hours,,,,P5,8+ hours
1371595288,Water Well,Water Well,,,,,,,False,False,8.686,,,,P5,8+ hours,,,,P5,8+ hours
1371595289,Water Well,Water Well,,,,,,,False,False,8.717,,,,P5,8+ hours,,,,P5,8+ hours
1371595290,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.473,,,,P5,8+ hours,,,,P5,8+ hours
1371595291,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.092,,,,P5,8+ hours,,,,P5,8+ hours
1371595292,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.092,,,,P5,8+ hours,,,,P5,8+ hours
1371595293,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.068,,,,P5,8+ hours,,,,P5,8+ hours
1371595294,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.078,,,,P5,8+ hours,,,,P5,8+ hours
1371595295,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.092,,,,P5,8+ hours,,,,P5,8+ hours
1371595296,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595297,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
